"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"31","Abbotsford","16 William St",2,"h",1310000,"S","Jellis","15/10/2016",2.5,3067,2,1,2,238,97,1890,"Yarra",-37.809,144.9976
"34","Abbotsford","250 Langridge St",2,"t",847000,"S","Jellis","16/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"36","Abbotsford","78 Yarra St",3,"h",1176500,"S","LITTLE","16/07/2016",2.5,3067,2,1,1,138,105,1890,"Yarra",-37.8021,144.9965
"38","Abbotsford","42 Valiant St",2,"h",890000,"S","Biggin","17/09/2016",2.5,3067,2,1,1,150,73,1985,"Yarra",-37.8011,145.0004
"39","Abbotsford","3/72 Charles St",4,"h",1330000,"PI","Kay","18/03/2017",2.5,3067,4,2,2,780,135,1900,"Yarra",-37.8073,144.9952
"44","Abbotsford","52a William St",2,"h",1100000,"PI","Biggin","18/06/2016",2.5,3067,2,2,1,124,135,2013,"Yarra",-37.8079,144.9977
"46","Abbotsford","65/80 Trenerry Cr",1,"u",480000,"S","Biggin","19/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"47","Abbotsford","119/52 Nicholson St",1,"u",423500,"S","hockingstuart","22/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"50","Abbotsford","48 Abbotsford St",3,"h",1447500,"PI","Nelson","22/08/2016",2.5,3067,3,3,1,166,174,2012,"Yarra",-37.8017,145.0001
"52","Abbotsford","159 Park St",2,"h",1135000,"S","Nelson","22/08/2016",2.5,3067,2,2,2,98,128,1920,"Yarra",-37.8005,144.9952
"53","Abbotsford","49/84 Trenerry Cr",2,"h",700000,"S","Biggin","23/04/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"55","Abbotsford","17/1 Abbot St",3,"t",962000,"SP","Jellis","25/02/2017",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.7972,144.9969
"56","Abbotsford","166 Gipps St",3,"h",1290000,"S","Biggin","25/02/2017",2.5,3067,3,2,2,147,18,1970,"Yarra",-37.805,144.9943
"57","Abbotsford","60 Stafford St",3,"h",1290000,"S","Biggin","25/02/2017",2.5,3067,3,1,1,168,124,1950,"Yarra",-37.8007,144.9958
"60","Abbotsford","45 Yarra St",3,"h",1195000,"SP","Jellis","27/11/2016",2.5,3067,3,2,1,120,128,1998,"Yarra",-37.8022,144.9954
"63","Abbotsford","82/84 Trenerry Cr",2,"u",970000,"SP","Biggin","28/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"64","Abbotsford","27 Charles St",2,"h",1030000,"S","Biggin","30/07/2016",2.5,3067,2,1,1,172,81,1930,"Yarra",-37.8086,144.9946
"66","Abbotsford","40/80 Trenerry Cr",3,"h",927000,"S","Biggin","30/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"67","Airport West","154 Halsey Rd",3,"t",840000,"PI","Nelson","3/09/2016",13.5,3042,3,2,1,303,225,2016,"Moonee Valley",-37.718,144.878
"71","Airport West","23 Hart St",2,"h",603000,"S","Nelson","4/03/2017",13.5,3042,2,1,1,272,84,1950,"Moonee Valley",-37.7294,144.888
"72","Airport West","1/80 Hawker St",3,"t",700000,"S","Brad","4/03/2017",13.5,3042,3,2,2,239,134,2009,"Moonee Valley",-37.7218,144.8837
"73","Airport West","1/37 Hillside Gr",3,"h",600000,"S","Maddison","4/03/2017",13.5,3042,2,1,1,290,116,1980,"Moonee Valley",-37.7273,144.8744
"74","Airport West","2/49 McIntosh St",2,"u",500000,"VB","Barry","4/03/2017",13.5,3042,2,1,1,168,86,2011,"Moonee Valley",-37.7215,144.8864
"75","Airport West","4/9 West Ct",2,"t",420000,"VB","Barry","4/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"76","Airport West","1/36 York St",3,"t",500000,"VB","Nelson","4/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"78","Airport West","89 Bowes Av",4,"h",960000,"S","Barry","6/08/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"79","Airport West","45 Laurence Av",4,"h",960000,"S","Nelson","6/08/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"80","Airport West","54 Marshall Rd",3,"h",720000,"S","Barry","6/08/2016",13.5,3042,2,1,1,620,146.861538586252,1970,"Moonee Valley",-37.7173,144.8872
"81","Airport West","36 Roberts Rd",4,"h",785000,"S","Considine","6/08/2016",13.5,3042,3,1,2,597,127,1970,"Moonee Valley",-37.7259,144.8792
"83","Airport West","2/252 Parer Rd",2,"t",450000,"S","Barry","7/05/2016",13.5,3042,2,1,1,110,90,2015,"Moonee Valley",-37.7216,144.871
"84","Airport West","3/19 Hart St",2,"u",515000,"S","Barry","7/11/2016",13.5,3042,2,1,1,141,73,2013,"Moonee Valley",-37.7298,144.8883
"85","Airport West","81a Roberts Rd",3,"h",680000,"VB","Nelson","8/10/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"86","Airport West","2/62 Clydesdale Rd",2,"u",530000,"S","Nelson","10/09/2016",13.5,3042,2,1,1,120,94,2012,"Moonee Valley",-37.7234,144.8792
"88","Airport West","3/24 Elstone Av",3,"u",600000,"VB","Nelson","10/09/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"90","Airport West","37a North St",3,"t",760000,"PI","Barry","10/12/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"91","Airport West","1/43 Cameron St",3,"u",752000,"S","Nelson","11/02/2017",13.5,3042,3,1,1,265,130,1993,"Moonee Valley",-37.7302,144.8855
"92","Airport West","1/69 Bowes Av",3,"u",580000,"VB","Nelson","12/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"93","Airport West","2/9 El Reno Cr",3,"h",725000,"PI","Ray","12/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"94","Airport West","92 McNamara Av",4,"h",758000,"S","Jellis","13/08/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"95","Airport West","145a Victory Rd",2,"u",440000,"S","Barry","13/08/2016",13.5,3042,2,1,1,192,146.861538586252,1970,"Moonee Valley",-37.7177,144.8787
"96","Airport West","20 Creswell Av",3,"h",970000,"S","Barry","14/05/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"98","Airport West","71 Bowes Av",4,"h",985000,"S","Barry","15/10/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"99","Airport West","2/40 Earl St",3,"t",700000,"PI","Brad","15/10/2016",13.5,3042,3,2,2,165,133,2009,"Moonee Valley",-37.727,144.887
"100","Airport West","2/112 Parer Rd",2,"u",509500,"SP","Nelson","15/10/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"101","Airport West","180 Parer Rd",3,"h",830000,"S","Barry","16/04/2016",13.5,3042,3,1,2,971,113,1960,"Moonee Valley",-37.7186,144.876
"102","Airport West","4/54 Hawker St",2,"u",462500,"S","Barry","16/07/2016",13.5,3042,2,1,1,164,146.861538586252,2003,"Moonee Valley",-37.7218,144.8863
"103","Airport West","43 Hillside Gr",3,"h",670000,"SP","Barry","16/07/2016",13.5,3042,3,2,2,657,146.861538586252,1970,"Moonee Valley",-37.7269,144.8742
"104","Airport West","174 Parer Rd",2,"h",675000,"S","Barry","16/07/2016",13.5,3042,2,1,1,612,100,1975,"Moonee Valley",-37.7187,144.8765
"106","Airport West","75 King St",3,"h",910000,"S","McDonald","17/09/2016",13.5,3042,3,1,1,775,146.861538586252,1970,"Moonee Valley",-37.7231,144.8835
"108","Airport West","7 McNamara Av",3,"h",715000,"S","Barry","17/09/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"109","Airport West","478 Fullarton Rd",3,"h",810000,"PI","Barry","18/03/2017",13.5,3042,3,3,2,555,192,1980,"Moonee Valley",-37.7285,144.8694
"110","Airport West","144 Marshall Rd",3,"h",715000,"S","Rendina","18/03/2017",13.5,3042,3,2,2,422,126,1995,"Moonee Valley",-37.7164,144.8792
"111","Airport West","106 Parer Rd",3,"h",790000,"S","Nelson","18/03/2017",13.5,3042,3,1,3,614,146.861538586252,1970,"Moonee Valley",-37.7194,144.8827
"112","Airport West","1/41 Hillside Gr",2,"t",460000,"VB","Nelson","18/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"113","Airport West","3/7 South Rd",3,"t",540000,"SP","Nelson","18/06/2016",13.5,3042,2,2,1,161,101,2010,"Moonee Valley",-37.7231,144.8802
"114","Airport West","37 North St",3,"t",825000,"SP","Barry","19/11/2016",13.5,3042,3,2,1,293,102,1960,"Moonee Valley",-37.72,144.8776
"115","Airport West","10 Hilbert Rd",3,"h",685000,"S","Barry","22/05/2016",13.5,3042,3,1,1,579,113,1975,"Moonee Valley",-37.7226,144.8733
"116","Airport West","7/42 York St",3,"u",445000,"S","Brad","22/05/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"117","Airport West","110 Halsey Rd",3,"h",805000,"S","Barry","22/08/2016",13.5,3042,3,1,1,623,146.861538586252,1970,"Moonee Valley",-37.7184,144.882
"118","Airport West","2/13 North St",2,"u",510000,"S","Nelson","22/08/2016",13.5,3042,2,1,1,141,76,1970,"Moonee Valley",-37.7202,144.8797
"119","Airport West","105a Victory Rd",3,"h",612000,"S","Nelson","22/08/2016",13.5,3042,3,2,1,212,146.861538586252,1970,"Moonee Valley",-37.7181,144.8824
"120","Airport West","117 Marshall Rd",3,"h",662000,"S","Brad","23/04/2016",13.5,3042,3,1,2,612,146.861538586252,1970,"Moonee Valley",-37.7169,144.8815
"121","Airport West","34 Moorna Dr",4,"h",978000,"S","Nelson","24/09/2016",13.5,3042,4,3,2,532,146.861538586252,1970,"Moonee Valley",-37.7263,144.869
"123","Airport West","33 North St",3,"h",720000,"PI","Nelson","25/02/2017",13.5,3042,3,1,1,585,146.861538586252,1970,"Moonee Valley",-37.72,144.878
"124","Airport West","4/40 McNamara Av",2,"u",474000,"PI","Barry","26/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"125","Airport West","5/93 McNamara Av",2,"t",490000,"SP","Frank","26/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"126","Airport West","2/137 McNamara Av",3,"h",405000,"S","Ray","27/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"127","Airport West","1/46 Bowes Av",3,"t",715000,"S","Barry","27/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"128","Airport West","1/34 Elstone Av",3,"u",671500,"S","McDonald","27/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"129","Airport West","49 Roberts Rd",4,"h",765000,"S","Prof.","27/11/2016",13.5,3042,4,1,2,509,146.861538586252,1970,"Moonee Valley",-37.7261,144.8785
"130","Airport West","85 Roberts Rd",4,"h",900000,"S","Harcourts","27/11/2016",13.5,3042,4,2,3,628,146,1975,"Moonee Valley",-37.7256,144.8739
"131","Airport West","22a Walters Av",3,"u",820000,"S","Nelson","28/08/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"132","Airport West","1/145 Parer Rd",3,"u",650000,"PI","Nelson","30/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"133","Airport West","3/35 Walters Av",3,"t",552000,"SP","Nelson","30/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"142","Albert Park","54 Brooke St",2,"h",1550000,"S","Sotheby's","7/05/2016",3.3,3206,2,1,1,167,146.861538586252,1970,"Port Phillip",-37.8405,144.9521
"145","Albert Park","4a Mills St",3,"t",1550000,"VB","Marshall","7/11/2016",3.3,3206,3,2,2,718,146.861538586252,1970,"Port Phillip",-37.8443,144.9598
"146","Albert Park","1 Moubray St",3,"h",1800000,"VB","Greg","7/11/2016",3.3,3206,3,2,1,132,159,1996,"Port Phillip",-37.8415,144.952
"148","Albert Park","29 Faussett St",2,"h",2120000,"S","Greg","10/09/2016",3.3,3206,2,1,1,199,107,1900,"Port Phillip",-37.8422,144.9554
"149","Albert Park","3 Herbert St",3,"h",1800000,"VB","Cayzer","10/09/2016",3.3,3206,3,1,1,253,146.861538586252,1970,"Port Phillip",-37.8443,144.9579
"150","Albert Park","24 Kerferd Pl",3,"h",1800000,"S","Marshall","10/09/2016",3.3,3206,3,2,1,90,122,1900,"Port Phillip",-37.8421,144.9571
"163","Albert Park","86 Mills St",3,"h",2000000,"VB","RT","16/04/2016",3.3,3206,3,2,1,211,147,1900,"Port Phillip",-37.847,144.9575
"173","Albert Park","55 Merton St",3,"h",2100000,"SP","Marshall","23/04/2016",3.3,3206,2,1,1,120,123,1900,"Port Phillip",-37.8427,144.9546
"177","Albert Park","49 Page St",3,"h",2000000,"PI","Marshall","24/09/2016",3.3,3206,3,1,1,238,131,1890,"Port Phillip",-37.8461,144.9528
"181","Albert Park","34 Richardson St",3,"h",1801000,"S","hockingstuart","25/02/2017",3.3,3206,3,1,1,202,146.861538586252,1970,"Port Phillip",-37.8429,144.9493
"185","Albert Park","3 Faussett St",2,"u",1810000,"PI","Marshall","27/06/2016",3.3,3206,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"186","Albert Park","44 Greig St",2,"h",1750000,"S","Marshall","27/11/2016",3.3,3206,2,1,1,162,146.861538586252,1970,"Port Phillip",-37.8416,144.9488
"192","Albert Park","17 Reed St",3,"h",1740000,"PI","Marshall","28/08/2016",3.3,3206,3,2,2,147,134,1890,"Port Phillip",-37.8448,144.9453
"196","Alphington","6 Smith St",4,"h",2000000,"S","Brace","3/09/2016",6.4,3078,3,2,4,853,263,1930,"Darebin",-37.7707,145.0318
"197","Alphington","5/6 Yarralea St",3,"h",1110000,"S","Jellis","3/09/2016",6.4,3078,3,2,2,208,146.861538586252,2013,"Yarra",-37.7854,145.0325
"198","Alphington","136A Fulham Rd",3,"h",1492000,"S","Jellis","4/03/2017",6.4,3078,3,2,2,411,146.861538586252,1970,"Darebin",-37.7713,145.0279
"199","Alphington","1/9 Roemer Cr",2,"u",480000,"PI","Miles","7/05/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"201","Alphington","2/21 Fulham Rd",3,"t",1304000,"SP","Holland","8/10/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"202","Alphington","44 Shiers St",4,"h",1717500,"S","Collins","8/10/2016",6.4,3078,4,2,1,599,203,1925,"Darebin",-37.7717,145.031
"205","Alphington","3/19 Harker St",2,"u",525500,"S","Miles","12/11/2016",6.4,3078,2,1,1,88,60,1960,"Darebin",-37.7791,145.0306
"206","Alphington","4/2 Miller St",2,"t",805000,"S","Miles","12/11/2016",6.4,3078,2,2,3,155,140,2004,"Darebin",-37.7804,145.0308
"209","Alphington","69 Lucerne Cr",3,"h",1480000,"S","Nelson","13/08/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"210","Alphington","815 Heidelberg Rd",3,"h",2000000,"PI","hockingstuart","15/10/2016",6.4,3078,3,3,2,686,146.861538586252,1970,"Darebin",-37.78,145.0341
"211","Alphington","44 Naroon Rd",3,"h",1540000,"S","Nelson","16/04/2016",6.4,3078,3,1,2,592,146.861538586252,1970,"Darebin",-37.7755,145.0288
"213","Alphington","1/17 Rex Av",2,"u",590000,"PI","Nelson","17/09/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"214","Alphington","3/98 Grange Rd",2,"u",820000,"S","Nelson","18/03/2017",6.4,3078,2,1,1,183,146.861538586252,1970,"Darebin",-37.7747,145.0264
"215","Alphington","10 Bennett St",4,"h",1830000,"S","Nelson","19/11/2016",6.4,3078,4,2,2,606,112,1970,"Darebin",-37.7743,145.0316
"216","Alphington","38 Bennett St",4,"h",2100000,"S","Nelson","19/11/2016",6.4,3078,4,2,2,575,271,2008,"Darebin",-37.7723,145.0319
"217","Alphington","2c Hamilton St",3,"h",865000,"SP","hockingstuart","22/05/2016",6.4,3078,3,1,1,180,131,2010,"Darebin",-37.7802,145.0243
"221","Alphington","17 Lowther St",3,"h",1361000,"S","Collins","25/02/2017",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.7796,145.0285
"223","Alphington","13a Fulham Rd",3,"h",1310000,"S","Jellis","26/07/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"224","Alphington","32/23 Coate Av",3,"h",570000,"VB","Thomas","27/06/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"225","Alphington","22 Lowther St",3,"h",1165000,"S","Barry","27/06/2016",6.4,3078,3,1,2,979,146.861538586252,1970,"Yarra",-37.7792,145.029
"226","Alphington","6/11 Broomfield Av",2,"u",530000,"S","Jellis","27/11/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"227","Alphington","11 Margaret Gr",4,"h",1900000,"SP","McGrath","27/11/2016",6.4,3078,4,2,2,556,272,1930,"Yarra",-37.7844,145.0225
"230","Alphington","42 Shiers St",4,"h",1950000,"S","Jellis","30/07/2016",6.4,3078,4,2,3,589,210,1920,"Darebin",-37.7719,145.0309
"231","Altona","158 Queen St",3,"h",520000,"VB","Greg","3/09/2016",13.8,3018,3,2,1,352,242,2015,"Hobsons Bay",-37.87,144.825
"233","Altona","1/123 Blyth St",2,"t",720000,"S","hockingstuart","4/02/2016",13.8,3018,2,1,2,292,125,2013,"Hobsons Bay",-37.8687,144.8197
"234","Altona","4 Blyth St",3,"h",1120000,"S","Barlow","4/03/2017",13.8,3018,3,1,2,506,120,1930,"Hobsons Bay",-37.8693,144.8375
"235","Altona","20 Linnet St",4,"h",780000,"PI","Sweeney","4/06/2016",13.8,3018,4,1,4,655,146.861538586252,1970,"Hobsons Bay",-37.868,144.8154
"237","Altona","1/170 Blyth St",3,"u",630000,"S","Barlow","6/08/2016",13.8,3018,2,1,2,311,94,1955,"Hobsons Bay",-37.8702,144.8143
"238","Altona","5/35 Grieve Pde",2,"u",406000,"SP","hockingstuart","6/08/2016",13.8,3018,2,1,1,65,146.861538586252,1970,"Hobsons Bay",-37.8693,144.8171
"239","Altona","156 Maidstone St",3,"h",660000,"VB","Greg","7/05/2016",13.8,3018,3,1,1,602,123,1955,"Hobsons Bay",-37.8616,144.8116
"240","Altona","11 Keeshan Ct",3,"h",683500,"S","Greg","7/11/2016",13.8,3018,3,1,1,530,146.861538586252,1970,"Hobsons Bay",-37.8594,144.817
"241","Altona","1/4 Deavey Ct",2,"u",540000,"VB","hockingstuart","8/10/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"242","Altona","1/136 Queen St",2,"u",580000,"S","Barlow","8/10/2016",13.8,3018,2,1,1,225,93,1988,"Hobsons Bay",-37.8696,144.827
"243","Altona","173 Queen St",3,"h",1335000,"S","hockingstuart","8/10/2016",13.8,3018,3,1,4,777,22,1953,"Hobsons Bay",-37.8697,144.8249
"244","Altona","1/265 Queen St",3,"t",800000,"SP","hockingstuart","8/10/2016",13.8,3018,3,2,2,280,146.861538586252,1997,"Hobsons Bay",-37.8734,144.8143
"245","Altona","3/26 Grieve Pde",2,"u",510000,"S","Village","10/09/2016",13.8,3018,2,1,1,127,76,1990,"Hobsons Bay",-37.8686,144.8182
"246","Altona","261 Queen St",4,"h",1070000,"S","Barlow","10/09/2016",13.8,3018,4,2,2,695,146.861538586252,1970,"Hobsons Bay",-37.8733,144.8147
"247","Altona","4/5 Rose St",2,"u",425000,"S","hockingstuart","10/09/2016",13.8,3018,2,1,2,115,57,1980,"Hobsons Bay",-37.871,144.8185
"248","Altona","1/60 David St",3,"u",605000,"S","Jas","10/12/2016",13.8,3018,3,2,2,230,146.861538586252,1970,"Hobsons Bay",-37.8646,144.827
"249","Altona","1A Merritt Ct",3,"t",705000,"S","hockingstuart","11/02/2017",13.8,3018,3,2,2,197,152,1970,"Hobsons Bay",-37.8579,144.8181
"252","Altona","24 Wren St",4,"h",845000,"S","hockingstuart","11/02/2017",13.8,3018,4,1,2,745,130,1950,"Hobsons Bay",-37.8658,144.8155
"253","Altona","54 Seves St",3,"h",766000,"S","Williams","11/03/2017",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"254","Altona","1/152 Blyth St",3,"t",743000,"SP","Gunn&Co","12/11/2016",13.8,3018,3,2,2,211,176,1970,"Hobsons Bay",-37.8698,144.816
"255","Altona","2/6 Galvin St",3,"t",650000,"SP","Williams","12/11/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"256","Altona","4/57 Blyth St",3,"u",730000,"SP","Barlow","13/08/2016",13.8,3018,3,2,1,69,141,2014,"Hobsons Bay",-37.868,144.8286
"257","Altona","10 Wilga Av",3,"t",916500,"S","hockingstuart","13/08/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"258","Altona","164 Maidstone St",3,"h",635000,"S","Sweeney","14/05/2016",13.8,3018,3,1,4,625,146.861538586252,1960,"Hobsons Bay",-37.8611,144.8114
"259","Altona","3/25 Rayner St",2,"u",620000,"SP","hockingstuart","14/05/2016",13.8,3018,2,1,1,168,146.861538586252,1970,"Hobsons Bay",-37.8676,144.8202
"260","Altona","3/46 Sargood St",2,"u",447000,"S","Burnham","15/10/2016",13.8,3018,2,1,1,137,77,1990,"Hobsons Bay",-37.8655,144.8299
"261","Altona","1/57 Blyth St",3,"u",730000,"SP","Barlow","16/04/2016",13.8,3018,3,2,1,70,146.861538586252,1970,"Hobsons Bay",-37.868,144.8287
"262","Altona","22 Fenfield St",3,"h",678000,"S","hockingstuart","16/04/2016",13.8,3018,3,1,2,606,87,1950,"Hobsons Bay",-37.8608,144.8124
"263","Altona","5/8 David St",2,"u",580000,"PI","Biggin","16/07/2016",13.8,3018,2,2,1,175,76,2013,"Hobsons Bay",-37.8687,144.8268
"264","Altona","1/28 Seves St",3,"h",712000,"S","hockingstuart","17/09/2016",13.8,3018,3,1,2,363,146.861538586252,1970,"Hobsons Bay",-37.8674,144.8375
"265","Altona","27 McIntyre Dr",3,"h",840000,"SP","Greg","18/03/2017",13.8,3018,3,2,2,534,136,1965,"Hobsons Bay",-37.86,144.8245
"266","Altona","4 Boyd St",3,"h",980000,"S","Barlow","19/11/2016",13.8,3018,3,1,2,724,146.861538586252,1970,"Hobsons Bay",-37.8672,144.817
"267","Altona","5a Emu Av",4,"h",1000000,"S","Barlow","19/11/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"269","Altona","185 Queen St",3,"h",880000,"PI","Barlow","22/08/2016",13.8,3018,3,3,1,577,146.861538586252,1970,"Hobsons Bay",-37.8699,144.8235
"270","Altona","3/20 Mulga St",3,"u",577000,"S","Williams","23/04/2016",13.8,3018,3,2,1,205,113,2007,"Hobsons Bay",-37.8684,144.815
"273","Altona","2/119 Railway St N",3,"u",605000,"S","Barlow","25/02/2017",13.8,3018,3,1,2,181,146.861538586252,1970,"Hobsons Bay",-37.8659,144.822
"274","Altona","12 Ransom Av",3,"h",685000,"S","Barlow","25/02/2017",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"276","Altona","24 McIntyre Dr",3,"h",753000,"S","Barlow","27/06/2016",13.8,3018,3,2,2,529,146.861538586252,1970,"Hobsons Bay",-37.8612,144.8247
"277","Altona","104 Maidstone St",2,"h",857000,"SP","hockingstuart","27/11/2016",13.8,3018,2,2,1,675,100,1950,"Hobsons Bay",-37.8653,144.8129
"278","Altona","49 Bent St",3,"h",1500000,"S","Barlow","28/05/2016",13.8,3018,3,1,1,929,146.861538586252,1970,"Hobsons Bay",-37.8651,144.832
"279","Altona","5/57 Blyth St",3,"u",730000,"SP","Barlow","28/05/2016",13.8,3018,3,2,1,70,3,2014,"Hobsons Bay",-37.868,144.8285
"280","Altona","15 Kookaburra St",3,"h",900000,"S","Sweeney","28/05/2016",13.8,3018,3,1,4,697,146.861538586252,1970,"Hobsons Bay",-37.871,144.8075
"281","Altona","219 Civic Pde",3,"h",740000,"S","Greg","28/08/2016",13.8,3018,3,1,2,604,146.861538586252,1970,"Hobsons Bay",-37.8631,144.8195
"282","Altona","3 Curtin Ct",4,"h",931000,"S","Sweeney","28/08/2016",13.8,3018,4,2,3,532,146.861538586252,1970,"Hobsons Bay",-37.8637,144.8365
"283","Altona","2/60 David St",2,"h",535600,"SP","Compton","30/07/2016",13.8,3018,2,1,1,154,91,1996,"Hobsons Bay",-37.8646,144.8272
